algorithm,size,total_comparisons,sample_count
quick_sort,40,157,1
bubble_sort,41,819,1
selection_sort,41,820,1
insertion_sort,41,440,1
merge_sort,41,166,1
quick_sort,41,226,1
bubble_sort,42,756,1
selection_sort,42,861,1
insertion_sort,42,457,1
merge_sort,42,175,1
quick_sort,42,187,1
bubble_sort,43,897,1
selection_sort,43,903,1
insertion_sort,43,401,1
merge_sort,43,179,1
quick_sort,43,196,1
bubble_sort,44,931,1
selection_sort,44,946,1
insertion_sort,44,549,1
merge_sort,44,186,1
quick_sort,44,219,1
bubble_sort,45,984,1
selection_sort,45,990,1
insertion_sort,45,568,1
merge_sort,45,195,1
quick_sort,45,239,1
bubble_sort,46,944,1
selection_sort,46,1035,1
insertion_sort,46,588,1
merge_sort,46,205,1
quick_sort,46,194,1
bubble_sort,47,1071,1
selection_sort,47,1081,1
insertion_sort,47,579,1
merge_sort,47,200,1
quick_sort,47,231,1
bubble_sort,48,1073,1
selection_sort,48,1128,1
insertion_sort,48,595,1
merge_sort,48,214,1
quick_sort,48,224,1
bubble_sort,49,1110,1
selection_sort,49,1176,1
insertion_sort,49,624,1
merge_sort,49,219,1
quick_sort,49,227,1
bubble_sort,50,1222,1
selection_sort,50,1225,1
insertion_sort,50,768,1
merge_sort,50,224,1
quick_sort,50,367,1
bubble_sort,51,1260,1
selection_sort,51,1275,1
insertion_sort,51,726,1
merge_sort,51,228,1
quick_sort,51,313,1
bubble_sort,52,1326,1
selection_sort,52,1326,1
insertion_sort,52,781,1
merge_sort,52,240,1
quick_sort,52,316,1
bubble_sort,53,1273,1
selection_sort,53,1378,1
insertion_sort,53,780,1
merge_sort,53,245,1
quick_sort,53,287,1
bubble_sort,54,1428,1
selection_sort,54,1431,1
insertion_sort,54,777,1
merge_sort,54,242,1
quick_sort,54,281,1
bubble_sort,55,1475,1
selection_sort,55,1485,1
insertion_sort,55,756,1
merge_sort,55,251,1
quick_sort,55,314,1
bubble_sort,56,1485,1
selection_sort,56,1540,1
insertion_sort,56,740,1
merge_sort,56,254,1
quick_sort,56,284,1
bubble_sort,57,1575,1
selection_sort,57,1596,1
insertion_sort,57,915,1
merge_sort,57,256,1
quick_sort,57,290,1
bubble_sort,58,1625,1
selection_sort,58,1653,1
insertion_sort,58,1054,1
merge_sort,58,276,1
quick_sort,58,282,1
bubble_sort,59,1645,1
selection_sort,59,1711,1
insertion_sort,59,881,1
merge_sort,59,269,1
quick_sort,59,284,1
bubble_sort,60,1742,1
selection_sort,60,1770,1
insertion_sort,60,860,1
merge_sort,60,285,1
quick_sort,60,330,1
bubble_sort,61,1640,1
selection_sort,61,1830,1
insertion_sort,61,866,1
merge_sort,61,283,1
quick_sort,61,338,1
bubble_sort,62,1720,1
selection_sort,62,1891,1
insertion_sort,62,1029,1
merge_sort,62,293,1
quick_sort,62,301,1
bubble_sort,63,1943,1
selection_sort,63,1953,1
insertion_sort,63,1021,1
merge_sort,63,299,1
quick_sort,63,390,1
bubble_sort,64,1863,1
selection_sort,64,2016,1
insertion_sort,64,1048,1
merge_sort,64,311,1
quick_sort,64,384,1
bubble_sort,65,2044,1
selection_sort,65,2080,1
insertion_sort,65,1121,1
merge_sort,65,313,1
quick_sort,65,338,1
bubble_sort,66,2100,1
selection_sort,66,2145,1
insertion_sort,66,1169,1
merge_sort,66,322,1
quick_sort,66,328,1
bubble_sort,67,2196,1
selection_sort,67,2211,1
insertion_sort,67,1301,1
merge_sort,67,317,1
quick_sort,67,355,1
bubble_sort,68,2278,1
selection_sort,68,2278,1
insertion_sort,68,1172,1
merge_sort,68,331,1
quick_sort,68,434,1
bubble_sort,69,2346,1
selection_sort,69,2346,1
insertion_sort,69,1402,1
merge_sort,69,337,1
quick_sort,69,412,1
bubble_sort,70,2415,1
selection_sort,70,2415,1
insertion_sort,70,1285,1
merge_sort,70,342,1
quick_sort,70,434,1
bubble_sort,71,2332,1
selection_sort,71,2485,1
insertion_sort,71,1241,1
merge_sort,71,351,1
quick_sort,71,379,1
bubble_sort,72,2528,1
selection_sort,72,2556,1
insertion_sort,72,1472,1
merge_sort,72,363,1
quick_sort,72,420,1
bubble_sort,73,2625,1
selection_sort,73,2628,1
insertion_sort,73,1506,1
merge_sort,73,355,1
quick_sort,73,520,1
bubble_sort,74,2646,1
selection_sort,74,2701,1
insertion_sort,74,1218,1
merge_sort,74,361,1
quick_sort,74,436,1
bubble_sort,75,2760,1
selection_sort,75,2775,1
insertion_sort,75,1369,1
merge_sort,75,376,1
quick_sort,75,435,1
bubble_sort,76,2784,1
selection_sort,76,2850,1
insertion_sort,76,1454,1
merge_sort,76,382,1
quick_sort,76,445,1
bubble_sort,77,2821,1
selection_sort,77,2926,1
insertion_sort,77,1556,1
merge_sort,77,393,1
quick_sort,77,433,1
bubble_sort,78,2958,1
selection_sort,78,3003,1
insertion_sort,78,1547,1
merge_sort,78,402,1
quick_sort,78,402,1
bubble_sort,79,3003,1
selection_sort,79,3081,1
insertion_sort,79,1574,1
merge_sort,79,402,1
quick_sort,79,416,1
bubble_sort,80,3139,1
selection_sort,80,3160,1
insertion_sort,80,1365,1
merge_sort,80,408,1
quick_sort,80,509,1
bubble_sort,81,3185,1
selection_sort,81,3240,1
insertion_sort,81,1758,1
merge_sort,81,400,1
quick_sort,81,456,1
bubble_sort,82,3293,1
selection_sort,82,3321,1
insertion_sort,82,1655,1
merge_sort,82,420,1
quick_sort,82,483,1
bubble_sort,83,3348,1
selection_sort,83,3403,1
insertion_sort,83,1666,1
merge_sort,83,418,1
quick_sort,83,490,1
bubble_sort,84,3486,1
selection_sort,84,3486,1
insertion_sort,84,1836,1
merge_sort,84,440,1
quick_sort,84,569,1
bubble_sort,85,3555,1
selection_sort,85,3570,1
insertion_sort,85,1866,1
merge_sort,85,441,1
quick_sort,85,538,1
bubble_sort,86,3645,1
selection_sort,86,3655,1
insertion_sort,86,1729,1
merge_sort,86,443,1
quick_sort,86,489,1
bubble_sort,87,3488,1
selection_sort,87,3741,1
insertion_sort,87,1843,1
merge_sort,87,446,1
quick_sort,87,508,1
bubble_sort,88,3692,1
selection_sort,88,3828,1
insertion_sort,88,1752,1
merge_sort,88,466,1
quick_sort,88,526,1
bubble_sort,89,3825,1
selection_sort,89,3916,1
insertion_sort,89,1973,1
merge_sort,89,467,1
quick_sort,89,551,1
bubble_sort,90,3990,1
selection_sort,90,4005,1
insertion_sort,90,2050,1
merge_sort,90,473,1
quick_sort,90,522,1
bubble_sort,91,4074,1
selection_sort,91,4095,1
insertion_sort,91,2030,1
merge_sort,91,475,1
quick_sort,91,645,1
bubble_sort,92,4150,1
selection_sort,92,4186,1
insertion_sort,92,1999,1
merge_sort,92,484,1
quick_sort,92,673,1
bubble_sort,93,4272,1
selection_sort,93,4278,1
insertion_sort,93,2354,1
merge_sort,93,489,1
quick_sort,93,658,1
bubble_sort,94,4335,1
selection_sort,94,4371,1
insertion_sort,94,2360,1
merge_sort,94,498,1
quick_sort,94,731,1
bubble_sort,95,4410,1
selection_sort,95,4465,1
insertion_sort,95,2239,1
merge_sort,95,507,1
quick_sort,95,603,1
bubble_sort,96,4532,1
selection_sort,96,4560,1
insertion_sort,96,2302,1
merge_sort,96,519,1
quick_sort,96,564,1
bubble_sort,97,4620,1
selection_sort,97,4656,1
insertion_sort,97,2700,1
merge_sort,97,512,1
quick_sort,97,619,1
bubble_sort,98,4708,1
selection_sort,98,4753,1
insertion_sort,98,2393,1
merge_sort,98,530,1
quick_sort,98,536,1
bubble_sort,99,4796,1
selection_sort,99,4851,1
insertion_sort,99,2574,1
merge_sort,99,539,1
quick_sort,99,558,1
bubble_sort,100,4719,1
selection_sort,100,4950,1
insertion_sort,100,2707,1
merge_sort,100,525,1
quick_sort,100,594,1
bubble_sort,10,45,1
selection_sort,10,45,1
insertion_sort,10,32,1
merge_sort,10,25,1
quick_sort,10,39,1
bubble_sort,11,52,1
selection_sort,11,55,1
insertion_sort,11,39,1
merge_sort,11,28,1
quick_sort,11,24,1
bubble_sort,12,65,1
selection_sort,12,66,1
insertion_sort,12,51,1
merge_sort,12,27,1
quick_sort,12,28,1
bubble_sort,13,57,1
selection_sort,13,78,1
insertion_sort,13,32,1
merge_sort,13,33,1
quick_sort,13,37,1
bubble_sort,14,88,1
selection_sort,14,91,1
insertion_sort,14,53,1
merge_sort,14,37,1
quick_sort,14,36,1
bubble_sort,15,95,1
selection_sort,15,105,1
insertion_sort,15,60,1
merge_sort,15,43,1
quick_sort,15,43,1
bubble_sort,16,119,1
selection_sort,16,120,1
insertion_sort,16,74,1
merge_sort,16,47,1
quick_sort,16,46,1
bubble_sort,17,100,1
selection_sort,17,136,1
insertion_sort,17,69,1
merge_sort,17,49,1
quick_sort,17,70,1
bubble_sort,18,152,1
selection_sort,18,153,1
insertion_sort,18,101,1
merge_sort,18,53,1
quick_sort,18,63,1
bubble_sort,19,168,1
selection_sort,19,171,1
insertion_sort,19,105,1
merge_sort,19,61,1
quick_sort,19,74,1
bubble_sort,20,180,1
selection_sort,20,190,1
insertion_sort,20,108,1
merge_sort,20,66,1
quick_sort,20,69,1
bubble_sort,21,207,1
selection_sort,21,210,1
insertion_sort,21,127,1
merge_sort,21,71,1
quick_sort,21,70,1
bubble_sort,22,228,1
selection_sort,22,231,1
insertion_sort,22,126,1
merge_sort,22,75,1
quick_sort,22,74,1
bubble_sort,23,247,1
selection_sort,23,253,1
insertion_sort,23,160,1
merge_sort,23,77,1
quick_sort,23,79,1
bubble_sort,24,273,1
selection_sort,24,276,1
insertion_sort,24,193,1
merge_sort,24,84,1
quick_sort,24,87,1
bubble_sort,25,279,1
selection_sort,25,300,1
insertion_sort,25,147,1
merge_sort,25,90,1
quick_sort,25,99,1
bubble_sort,26,325,1
selection_sort,26,325,1
insertion_sort,26,199,1
merge_sort,26,88,1
quick_sort,26,118,1
bubble_sort,27,351,1
selection_sort,27,351,1
insertion_sort,27,238,1
merge_sort,27,101,1
quick_sort,27,154,1
bubble_sort,28,357,1
selection_sort,28,378,1
insertion_sort,28,220,1
merge_sort,28,101,1
quick_sort,28,104,1
bubble_sort,29,378,1
selection_sort,29,406,1
insertion_sort,29,210,1
merge_sort,29,106,1
quick_sort,29,131,1
bubble_sort,30,435,1
selection_sort,30,435,1
insertion_sort,30,226,1
merge_sort,30,110,1
quick_sort,30,148,1
bubble_sort,31,459,1
selection_sort,31,465,1
insertion_sort,31,272,1
merge_sort,31,121,1
quick_sort,31,165,1
bubble_sort,32,490,1
selection_sort,32,496,1
insertion_sort,32,296,1
merge_sort,32,121,1
quick_sort,32,132,1
bubble_sort,33,500,1
selection_sort,33,528,1
insertion_sort,33,251,1
merge_sort,33,128,1
quick_sort,33,122,1
bubble_sort,34,558,1
selection_sort,34,561,1
insertion_sort,34,317,1
merge_sort,34,130,1
quick_sort,34,161,1
bubble_sort,35,594,1
selection_sort,35,595,1
insertion_sort,35,304,1
merge_sort,35,140,1
quick_sort,35,178,1
bubble_sort,36,615,1
selection_sort,36,630,1
insertion_sort,36,398,1
merge_sort,36,141,1
quick_sort,36,159,1
bubble_sort,37,663,1
selection_sort,37,666,1
insertion_sort,37,319,1
merge_sort,37,145,1
quick_sort,37,210,1
bubble_sort,38,682,1
selection_sort,38,703,1
insertion_sort,38,406,1
merge_sort,38,157,1
quick_sort,38,156,1
bubble_sort,39,735,1
selection_sort,39,741,1
insertion_sort,39,397,1
merge_sort,39,159,1
quick_sort,39,181,1
bubble_sort,40,714,1
selection_sort,40,780,1
insertion_sort,40,417,1
merge_sort,40,170,1
quick_sort,40,208,1
bubble_sort,41,810,1
selection_sort,41,820,1
insertion_sort,41,431,1
merge_sort,41,167,1
quick_sort,41,184,1
bubble_sort,42,851,1
selection_sort,42,861,1
insertion_sort,42,534,1
merge_sort,42,177,1
quick_sort,42,187,1
bubble_sort,43,858,1
selection_sort,43,903,1
insertion_sort,43,414,1
merge_sort,43,187,1
quick_sort,43,205,1
bubble_sort,44,901,1
selection_sort,44,946,1
insertion_sort,44,512,1
merge_sort,44,186,1
quick_sort,44,215,1
bubble_sort,45,990,1
selection_sort,45,990,1
insertion_sort,45,583,1
merge_sort,45,199,1
quick_sort,45,216,1
bubble_sort,46,1032,1
selection_sort,46,1035,1
insertion_sort,46,597,1
merge_sort,46,207,1
quick_sort,46,224,1
bubble_sort,47,1060,1
selection_sort,47,1081,1
insertion_sort,47,580,1
merge_sort,47,205,1
quick_sort,47,216,1
bubble_sort,48,1092,1
selection_sort,48,1128,1
insertion_sort,48,546,1
merge_sort,48,212,1
quick_sort,48,273,1
bubble_sort,49,1110,1
selection_sort,49,1176,1
insertion_sort,49,660,1
merge_sort,49,219,1
quick_sort,49,224,1
bubble_sort,50,1204,1
selection_sort,50,1225,1
insertion_sort,50,670,1
merge_sort,50,218,1
quick_sort,50,289,1
bubble_sort,51,1155,1
selection_sort,51,1275,1
insertion_sort,51,612,1
merge_sort,51,228,1
quick_sort,51,287,1
bubble_sort,52,1326,1
selection_sort,52,1326,1
insertion_sort,52,666,1
merge_sort,52,241,1
quick_sort,52,281,1
bubble_sort,53,1375,1
selection_sort,53,1378,1
insertion_sort,53,885,1
merge_sort,53,237,1
quick_sort,53,332,1
bubble_sort,54,1386,1
selection_sort,54,1431,1
insertion_sort,54,665,1
merge_sort,54,248,1
quick_sort,54,303,1
bubble_sort,55,1482,1
selection_sort,55,1485,1
insertion_sort,55,815,1
merge_sort,55,254,1
quick_sort,55,313,1
bubble_sort,56,1539,1
selection_sort,56,1540,1
insertion_sort,56,846,1
merge_sort,56,261,1
quick_sort,56,307,1
bubble_sort,57,1505,1
selection_sort,57,1596,1
insertion_sort,57,852,1
merge_sort,57,264,1
quick_sort,57,258,1
bubble_sort,58,1598,1
selection_sort,58,1653,1
insertion_sort,58,872,1
merge_sort,58,265,1
quick_sort,58,277,1
bubble_sort,59,1620,1
selection_sort,59,1711,1
insertion_sort,59,912,1
merge_sort,59,282,1
quick_sort,59,351,1
bubble_sort,60,1755,1
selection_sort,60,1770,1
insertion_sort,60,897,1
merge_sort,60,279,1
quick_sort,60,304,1
bubble_sort,61,1815,1
selection_sort,61,1830,1
insertion_sort,61,901,1
merge_sort,61,292,1
quick_sort,61,329,1
bubble_sort,62,1786,1
selection_sort,62,1891,1
insertion_sort,62,1030,1
merge_sort,62,284,1
quick_sort,62,325,1
bubble_sort,63,1938,1
selection_sort,63,1953,1
insertion_sort,63,1077,1
merge_sort,63,305,1
quick_sort,63,388,1
bubble_sort,64,1863,1
selection_sort,64,2016,1
insertion_sort,64,909,1
merge_sort,64,302,1
quick_sort,64,368,1
bubble_sort,65,2044,1
selection_sort,65,2080,1
insertion_sort,65,1060,1
merge_sort,65,316,1
quick_sort,65,345,1
bubble_sort,66,2117,1
selection_sort,66,2145,1
insertion_sort,66,1097,1
merge_sort,66,318,1
quick_sort,66,391,1
bubble_sort,67,2156,1
selection_sort,67,2211,1
insertion_sort,67,1146,1
merge_sort,67,318,1
quick_sort,67,382,1
bubble_sort,68,2173,1
selection_sort,68,2278,1
insertion_sort,68,1043,1
merge_sort,68,322,1
quick_sort,68,342,1
bubble_sort,69,2301,1
selection_sort,69,2346,1
insertion_sort,69,1241,1
merge_sort,69,339,1
quick_sort,69,364,1
bubble_sort,70,2405,1
selection_sort,70,2415,1
insertion_sort,70,1302,1
merge_sort,70,342,1
quick_sort,70,366,1
bubble_sort,71,2479,1
selection_sort,71,2485,1
insertion_sort,71,1279,1
merge_sort,71,354,1
quick_sort,71,422,1
bubble_sort,72,2556,1
selection_sort,72,2556,1
insertion_sort,72,1419,1
merge_sort,72,360,1
quick_sort,72,472,1
bubble_sort,73,2628,1
selection_sort,73,2628,1
insertion_sort,73,1705,1
merge_sort,73,352,1
quick_sort,73,438,1
bubble_sort,74,2701,1
selection_sort,74,2701,1
insertion_sort,74,1344,1
merge_sort,74,366,1
quick_sort,74,501,1
bubble_sort,75,2730,1
selection_sort,75,2775,1
insertion_sort,75,1447,1
merge_sort,75,372,1
quick_sort,75,459,1
bubble_sort,76,2835,1
selection_sort,76,2850,1
insertion_sort,76,1409,1
merge_sort,76,389,1
quick_sort,76,481,1
bubble_sort,77,2890,1
selection_sort,77,2926,1
insertion_sort,77,1476,1
merge_sort,77,383,1
quick_sort,77,466,1
bubble_sort,78,3000,1
selection_sort,78,3003,1
insertion_sort,78,1570,1
merge_sort,78,401,1
quick_sort,78,485,1
bubble_sort,79,3075,1
selection_sort,79,3081,1
insertion_sort,79,1557,1
merge_sort,79,406,1
quick_sort,79,595,1
bubble_sort,80,3115,1
selection_sort,80,3160,1
insertion_sort,80,1773,1
merge_sort,80,402,1
quick_sort,80,496,1
bubble_sort,81,3219,1
selection_sort,81,3240,1
insertion_sort,81,1686,1
merge_sort,81,416,1
quick_sort,81,484,1
bubble_sort,82,3321,1
selection_sort,82,3321,1
insertion_sort,82,1880,1
merge_sort,82,413,1
quick_sort,82,479,1
bubble_sort,83,3325,1
selection_sort,83,3403,1
insertion_sort,83,1962,1
merge_sort,83,432,1
quick_sort,83,515,1
bubble_sort,84,3465,1
selection_sort,84,3486,1
insertion_sort,84,1811,1
merge_sort,84,434,1
quick_sort,84,505,1
bubble_sort,85,3380,1
selection_sort,85,3570,1
insertion_sort,85,1865,1
merge_sort,85,444,1
quick_sort,85,479,1
bubble_sort,86,3649,1
selection_sort,86,3655,1
insertion_sort,86,1984,1
merge_sort,86,450,1
quick_sort,86,620,1
bubble_sort,87,3531,1
selection_sort,87,3741,1
insertion_sort,87,1636,1
merge_sort,87,459,1
quick_sort,87,496,1
bubble_sort,88,3750,1
selection_sort,88,3828,1
insertion_sort,88,2213,1
merge_sort,88,465,1
quick_sort,88,526,1
bubble_sort,89,3871,1
selection_sort,89,3916,1
insertion_sort,89,2095,1
merge_sort,89,471,1
quick_sort,89,573,1
bubble_sort,90,3914,1
selection_sort,90,4005,1
insertion_sort,90,1871,1
merge_sort,90,473,1
quick_sort,90,611,1
bubble_sort,91,4095,1
selection_sort,91,4095,1
insertion_sort,91,2134,1
merge_sort,91,478,1
quick_sort,91,627,1
bubble_sort,92,4171,1
selection_sort,92,4186,1
insertion_sort,92,2224,1
merge_sort,92,471,1
quick_sort,92,535,1
bubble_sort,93,4223,1
selection_sort,93,4278,1
insertion_sort,93,2423,1
merge_sort,93,501,1
quick_sort,93,702,1
bubble_sort,94,4326,1
selection_sort,94,4371,1
insertion_sort,94,2338,1
merge_sort,94,491,1
quick_sort,94,631,1
bubble_sort,95,4360,1
selection_sort,95,4465,1
insertion_sort,95,2245,1
merge_sort,95,501,1
quick_sort,95,575,1
bubble_sort,96,4235,1
selection_sort,96,4560,1
insertion_sort,96,2368,1
merge_sort,96,512,1
quick_sort,96,579,1
bubble_sort,97,4551,1
selection_sort,97,4656,1
insertion_sort,97,2409,1
merge_sort,97,528,1
quick_sort,97,602,1
bubble_sort,98,4648,1
selection_sort,98,4753,1
insertion_sort,98,2539,1
merge_sort,98,514,1
quick_sort,98,671,1
bubble_sort,99,4815,1
selection_sort,99,4851,1
insertion_sort,99,2604,1
merge_sort,99,541,1
quick_sort,99,697,1
bubble_sort,100,4859,1
selection_sort,100,4950,1
insertion_sort,100,2435,1
merge_sort,100,537,1
quick_sort,100,657,1